baseline,oracle,vector_rag,vector_rag_rerank,heuristic_stateful,static_graph,route_fn_only,graph_route_pg,full_brain
oracle,0.0,0.1737,0.125,0.2025,1.0,0.3788,0.2538,0.0088
vector_rag,-0.1737,0.0,-0.0487,0.0288,0.8263,0.205,0.08,-0.165
vector_rag_rerank,-0.125,0.0487,0.0,0.0775,0.875,0.2538,0.1288,-0.1162
heuristic_stateful,-0.2025,-0.0288,-0.0775,0.0,0.7975,0.1763,0.0513,-0.1937
static_graph,-1.0,-0.8263,-0.875,-0.7975,0.0,-0.6212,-0.7462,-0.9912
route_fn_only,-0.3788,-0.205,-0.2538,-0.1763,0.6212,0.0,-0.125,-0.37
graph_route_pg,-0.2538,-0.08,-0.1288,-0.0513,0.7462,0.125,0.0,-0.245
full_brain,-0.0088,0.165,0.1162,0.1937,0.9912,0.37,0.245,0.0
