baseline,oracle,vector_rag,vector_rag_rerank,heuristic_stateful,static_graph,route_fn_only,graph_route_pg,full_brain
oracle,0.0,0.2125,0.1038,0.1837,1.0,0.3562,0.215,0.025
vector_rag,-0.2125,0.0,-0.1088,-0.0288,0.7875,0.1437,0.0025,-0.1875
vector_rag_rerank,-0.1038,0.1088,0.0,0.08,0.8962,0.2525,0.1112,-0.0787
heuristic_stateful,-0.1837,0.0288,-0.08,0.0,0.8163,0.1725,0.0312,-0.1587
static_graph,-1.0,-0.7875,-0.8962,-0.8163,0.0,-0.6438,-0.785,-0.975
route_fn_only,-0.3562,-0.1437,-0.2525,-0.1725,0.6438,0.0,-0.1412,-0.3312
graph_route_pg,-0.215,-0.0025,-0.1112,-0.0312,0.785,0.1412,0.0,-0.19
full_brain,-0.025,0.1875,0.0787,0.1587,0.975,0.3312,0.19,0.0
