baseline,oracle,vector_rag,vector_rag_rerank,heuristic_stateful,static_graph,route_fn_only,graph_route_pg,full_brain
oracle,0.0,0.1725,0.0925,0.1875,1.0,0.385,0.2037,0.0088
vector_rag,-0.1725,0.0,-0.08,0.015,0.8275,0.2125,0.0312,-0.1637
vector_rag_rerank,-0.0925,0.08,0.0,0.095,0.9075,0.2925,0.1112,-0.0837
heuristic_stateful,-0.1875,-0.015,-0.095,0.0,0.8125,0.1975,0.0162,-0.1787
static_graph,-1.0,-0.8275,-0.9075,-0.8125,0.0,-0.615,-0.7963,-0.9912
route_fn_only,-0.385,-0.2125,-0.2925,-0.1975,0.615,0.0,-0.1813,-0.3762
graph_route_pg,-0.2037,-0.0312,-0.1112,-0.0162,0.7963,0.1813,0.0,-0.195
full_brain,-0.0088,0.1637,0.0837,0.1787,0.9912,0.3762,0.195,0.0
