baseline,accuracy,stale_rate,false_rate,unknown_rate,corrections_delivered,context_used,traversal_cost,total_queries
oracle,1.0,0.0,0.0,0.0,0,800,800,800
vector_rag,0.82625,0.5107913669064749,0.4892086330935252,0.0,80,800,800,800
vector_rag_rerank,0.8825,0.9787234042553191,0.02127659574468085,0.0,80,4000,6400,800
heuristic_stateful,0.8175,0.9931506849315068,0.00684931506849315,0.0,80,800,800,800
static_graph,0.0,0.0,0.0,1.0,80,0,1600,800
route_fn_only,0.6775,0.031007751937984496,0.9689922480620154,0.0,80,800,800,800
graph_route_pg,0.72,0.21875,0.21428571428571427,0.5669642857142857,80,673,927,800
full_brain,0.995,0.5,0.5,0.0,3,800,800,800
