baseline,oracle,vector_rag,vector_rag_rerank,heuristic_stateful,static_graph,route_fn_only,graph_route_pg,full_brain
oracle,0.0,0.1737,0.1175,0.1825,1.0,0.3225,0.28,0.005
vector_rag,-0.1737,0.0,-0.0562,0.0088,0.8263,0.1488,0.1063,-0.1687
vector_rag_rerank,-0.1175,0.0562,0.0,0.065,0.8825,0.205,0.1625,-0.1125
heuristic_stateful,-0.1825,-0.0088,-0.065,0.0,0.8175,0.14,0.0975,-0.1775
static_graph,-1.0,-0.8263,-0.8825,-0.8175,0.0,-0.6775,-0.72,-0.995
route_fn_only,-0.3225,-0.1488,-0.205,-0.14,0.6775,0.0,-0.0425,-0.3175
graph_route_pg,-0.28,-0.1063,-0.1625,-0.0975,0.72,0.0425,0.0,-0.275
full_brain,-0.005,0.1687,0.1125,0.1775,0.995,0.3175,0.275,0.0
