baseline,oracle,vector_rag,vector_rag_rerank,heuristic_stateful,static_graph,route_fn_only,graph_route_pg,full_brain
oracle,0.0,0.1787,0.12,0.1825,1.0,0.365,0.2087,0.0088
vector_rag,-0.1787,0.0,-0.0587,0.0038,0.8213,0.1863,0.03,-0.17
vector_rag_rerank,-0.12,0.0587,0.0,0.0625,0.88,0.245,0.0887,-0.1112
heuristic_stateful,-0.1825,-0.0038,-0.0625,0.0,0.8175,0.1825,0.0262,-0.1737
static_graph,-1.0,-0.8213,-0.88,-0.8175,0.0,-0.635,-0.7913,-0.9912
route_fn_only,-0.365,-0.1863,-0.245,-0.1825,0.635,0.0,-0.1562,-0.3562
graph_route_pg,-0.2087,-0.03,-0.0887,-0.0262,0.7913,0.1562,0.0,-0.2
full_brain,-0.0088,0.17,0.1112,0.1737,0.9912,0.3562,0.2,0.0
