baseline,oracle,vector_rag,vector_rag_rerank,heuristic_stateful,static_graph,route_fn_only,graph_route_pg,full_brain
oracle,0.0,0.1488,0.1,0.185,1.0,0.355,0.2375,0.0075
vector_rag,-0.1488,0.0,-0.0488,0.0363,0.8512,0.2062,0.0887,-0.1413
vector_rag_rerank,-0.1,0.0488,0.0,0.085,0.9,0.255,0.1375,-0.0925
heuristic_stateful,-0.185,-0.0363,-0.085,0.0,0.815,0.17,0.0525,-0.1775
static_graph,-1.0,-0.8512,-0.9,-0.815,0.0,-0.645,-0.7625,-0.9925
route_fn_only,-0.355,-0.2062,-0.255,-0.17,0.645,0.0,-0.1175,-0.3475
graph_route_pg,-0.2375,-0.0887,-0.1375,-0.0525,0.7625,0.1175,0.0,-0.23
full_brain,-0.0075,0.1413,0.0925,0.1775,0.9925,0.3475,0.23,0.0
