baseline,oracle,full_brain,vector_rag_rerank,vector_rag,heuristic_stateful,graph_route_pg,route_fn_only,static_graph
oracle,0.0,0.0085,0.105625,0.1795,0.191375,0.241375,0.361625,1.0
full_brain,-0.0085,0.0,0.097125,0.171,0.182875,0.232875,0.353125,0.9915
vector_rag_rerank,-0.105625,-0.097125,0.0,0.073875,0.08575,0.13575,0.256,0.894375
vector_rag,-0.1795,-0.171,-0.073875,0.0,0.011875,0.061875,0.182125,0.8205
heuristic_stateful,-0.191375,-0.182875,-0.08575,-0.011875,0.0,0.05,0.17025,0.808625
graph_route_pg,-0.241375,-0.232875,-0.13575,-0.061875,-0.05,0.0,0.12025,0.758625
route_fn_only,-0.361625,-0.353125,-0.256,-0.182125,-0.17025,-0.12025,0.0,0.638375
static_graph,-1.0,-0.9915,-0.894375,-0.8205,-0.808625,-0.758625,-0.638375,0.0
