baseline,accuracy,accuracy_std,stale_rate,stale_rate_std,false_rate,false_rate_std,unknown_rate,unknown_rate_std,corrections_delivered,corrections_delivered_std,feedback_events,feedback_events_std,feedback_rate,feedback_rate_std,context_used,context_used_std,traversal_cost,traversal_cost_std,total_queries,total_queries_std,num_seeds
full_brain,0.97963,0.002881,0.330808,0.044748,0.669192,0.044748,0.0,0.0,5.333333,3.771236,356.0,14.165686,0.197778,0.00787,1800.0,0.0,1800.0,0.0,1800.0,0.0,3
graph_route_pg,0.438148,0.134382,0.377208,0.153763,0.239076,0.085933,0.383716,0.239659,70.0,0.0,356.0,14.165686,0.197778,0.00787,1354.666667,334.638445,2245.333333,334.638445,1800.0,0.0,3
heuristic_stateful,0.514444,0.005231,0.767325,0.014203,0.232675,0.014203,0.0,0.0,70.0,0.0,356.0,14.165686,0.197778,0.00787,1800.0,0.0,1800.0,0.0,1800.0,0.0,3
oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0,14.165686,0.197778,0.00787,1800.0,0.0,1800.0,0.0,1800.0,0.0,3
route_fn_only,0.376852,0.007965,0.069138,0.01382,0.930862,0.01382,0.0,0.0,70.0,0.0,356.0,14.165686,0.197778,0.00787,1800.0,0.0,1800.0,0.0,1800.0,0.0,3
static_graph,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,70.0,0.0,356.0,14.165686,0.197778,0.00787,0.0,0.0,3600.0,0.0,1800.0,0.0,3
vector_rag,0.593333,0.010463,0.615154,0.016124,0.384846,0.016124,0.0,0.0,70.0,0.0,356.0,14.165686,0.197778,0.00787,1800.0,0.0,1800.0,0.0,1800.0,0.0,3
vector_rag_rerank,0.677037,0.008169,0.803161,0.013375,0.196839,0.013375,0.0,0.0,70.0,0.0,356.0,14.165686,0.197778,0.00787,9000.0,0.0,14400.0,0.0,1800.0,0.0,3
