baseline,oracle,vector_rag,vector_rag_rerank,heuristic_stateful,static_graph,route_fn_only,graph_route_pg,full_brain
oracle,0.0,0.2312,0.1288,0.215,1.0,0.3812,0.3013,0.0062
vector_rag,-0.2312,0.0,-0.1025,-0.0162,0.7688,0.15,0.07,-0.225
vector_rag_rerank,-0.1288,0.1025,0.0,0.0862,0.8712,0.2525,0.1725,-0.1225
heuristic_stateful,-0.215,0.0162,-0.0862,0.0,0.785,0.1663,0.0863,-0.2087
static_graph,-1.0,-0.7688,-0.8712,-0.785,0.0,-0.6188,-0.6987,-0.9938
route_fn_only,-0.3812,-0.15,-0.2525,-0.1663,0.6188,0.0,-0.08,-0.375
graph_route_pg,-0.3013,-0.07,-0.1725,-0.0863,0.6987,0.08,0.0,-0.295
full_brain,-0.0062,0.225,0.1225,0.2087,0.9938,0.375,0.295,0.0
