baseline,oracle,vector_rag,vector_rag_rerank,heuristic_stateful,static_graph,route_fn_only,graph_route_pg,full_brain
oracle,0.0,0.18,0.1088,0.22,1.0,0.3425,0.3,0.0138
vector_rag,-0.18,0.0,-0.0713,0.04,0.82,0.1625,0.12,-0.1663
vector_rag_rerank,-0.1088,0.0713,0.0,0.1112,0.8912,0.2338,0.1913,-0.095
heuristic_stateful,-0.22,-0.04,-0.1112,0.0,0.78,0.1225,0.08,-0.2062
static_graph,-1.0,-0.82,-0.8912,-0.78,0.0,-0.6575,-0.7,-0.9862
route_fn_only,-0.3425,-0.1625,-0.2338,-0.1225,0.6575,0.0,-0.0425,-0.3287
graph_route_pg,-0.3,-0.12,-0.1913,-0.08,0.7,0.0425,0.0,-0.2863
full_brain,-0.0138,0.1663,0.095,0.2062,0.9862,0.3287,0.2863,0.0
