seed,baseline,accuracy,stale_rate,false_rate,unknown_rate,context_per_query,traversal_per_query,corrections_per_1k_queries
11,oracle,1.0,0.0,0.0,0.0,1.0,1.0,0.0
11,full_brain,0.975,0.2,0.8,0.0,1.0,1.0,3.3333333333333335
11,vector_rag_rerank,0.6772222222222222,0.7900172117039587,0.2099827882960413,0.0,5.0,8.0,38.888888888888886
11,vector_rag,0.615,0.5916305916305916,0.4083694083694084,0.0,1.0,1.0,38.888888888888886
11,heuristic_stateful,0.5438888888888889,0.7661388550548112,0.23386114494518878,0.0,1.0,1.0,38.888888888888886
11,graph_route_pg,0.5838888888888889,0.5687583444592791,0.3377837116154873,0.09345794392523364,0.9611111111111111,1.038888888888889,38.888888888888886
11,route_fn_only,0.3511111111111111,0.06763698630136987,0.9323630136986302,0.0,1.0,1.0,38.888888888888886
11,static_graph,0.0,0.0,0.0,1.0,0.0,2.0,38.888888888888886
22,oracle,1.0,0.0,0.0,0.0,1.0,1.0,0.0
22,full_brain,0.9777777777777777,0.45,0.55,0.0,1.0,1.0,3.888888888888889
22,vector_rag_rerank,0.6827777777777778,0.7933450087565674,0.20665499124343256,0.0,5.0,8.0,38.888888888888886
22,vector_rag,0.6127777777777778,0.5853658536585366,0.4146341463414634,0.0,1.0,1.0,38.888888888888886
22,heuristic_stateful,0.5505555555555556,0.761433868974042,0.23856613102595797,0.0,1.0,1.0,38.888888888888886
22,graph_route_pg,0.5916666666666667,0.5387755102040817,0.38095238095238093,0.08027210884353742,0.9672222222222222,1.0327777777777778,38.888888888888886
22,route_fn_only,0.365,0.0699912510936133,0.9300087489063867,0.0,1.0,1.0,38.888888888888886
22,static_graph,0.0,0.0,0.0,1.0,0.0,2.0,38.888888888888886
33,oracle,1.0,0.0,0.0,0.0,1.0,1.0,0.0
33,full_brain,0.9816666666666667,0.30303030303030304,0.696969696969697,0.0,1.0,1.0,0.0
33,vector_rag_rerank,0.6766666666666666,0.7869415807560137,0.21305841924398625,0.0,5.0,8.0,38.888888888888886
33,vector_rag,0.5788888888888889,0.5949868073878628,0.4050131926121372,0.0,1.0,1.0,38.888888888888886
33,heuristic_stateful,0.5072222222222222,0.7666290868094702,0.23337091319052988,0.0,1.0,1.0,38.888888888888886
33,graph_route_pg,0.26722222222222225,0.19711902956785443,0.14101592115238817,0.6618650492797574,0.515,1.485,38.888888888888886
33,route_fn_only,0.37777777777777777,0.08392857142857142,0.9160714285714285,0.0,1.0,1.0,38.888888888888886
33,static_graph,0.0,0.0,0.0,1.0,0.0,2.0,38.888888888888886
44,oracle,1.0,0.0,0.0,0.0,1.0,1.0,0.0
44,full_brain,0.9783333333333334,0.2564102564102564,0.7435897435897436,0.0,1.0,1.0,3.888888888888889
44,vector_rag_rerank,0.6577777777777778,0.7824675324675324,0.21753246753246752,0.0,5.0,8.0,38.888888888888886
44,vector_rag,0.6061111111111112,0.6417489421720733,0.35825105782792666,0.0,1.0,1.0,38.888888888888886
44,heuristic_stateful,0.4861111111111111,0.7556756756756757,0.24432432432432433,0.0,1.0,1.0,38.888888888888886
44,graph_route_pg,0.18555555555555556,0.13028649386084584,0.07708049113233288,0.7926330150068213,0.35444444444444445,1.6455555555555557,38.888888888888886
44,route_fn_only,0.33666666666666667,0.07035175879396985,0.9296482412060302,0.0,1.0,1.0,38.888888888888886
44,static_graph,0.0,0.0,0.0,1.0,0.0,2.0,38.888888888888886
55,oracle,1.0,0.0,0.0,0.0,1.0,1.0,0.0
55,full_brain,0.9816666666666667,0.21212121212121213,0.7878787878787878,0.0,1.0,1.0,1.6666666666666667
55,vector_rag_rerank,0.6688888888888889,0.8087248322147651,0.1912751677852349,0.0,5.0,8.0,38.888888888888886
55,vector_rag,0.5988888888888889,0.6163434903047091,0.38365650969529086,0.0,1.0,1.0,38.888888888888886
55,heuristic_stateful,0.4922222222222222,0.7910284463894968,0.2089715536105033,0.0,1.0,1.0,38.888888888888886
55,graph_route_pg,0.5838888888888889,0.5607476635514018,0.3684913217623498,0.07076101468624833,0.9705555555555555,1.0294444444444444,38.888888888888886
55,route_fn_only,0.39555555555555555,0.07536764705882353,0.9246323529411765,0.0,1.0,1.0,38.888888888888886
55,static_graph,0.0,0.0,0.0,1.0,0.0,2.0,38.888888888888886
66,oracle,1.0,0.0,0.0,0.0,1.0,1.0,0.0
66,full_brain,0.9811111111111112,0.2647058823529412,0.7352941176470589,0.0,1.0,1.0,4.444444444444445
66,vector_rag_rerank,0.6633333333333333,0.801980198019802,0.19801980198019803,0.0,5.0,8.0,38.888888888888886
66,vector_rag,0.5844444444444444,0.6029411764705882,0.39705882352941174,0.0,1.0,1.0,38.888888888888886
66,heuristic_stateful,0.4911111111111111,0.7652838427947598,0.23471615720524017,0.0,1.0,1.0,38.888888888888886
66,graph_route_pg,0.5561111111111111,0.5356695869837297,0.37922403003754696,0.0851063829787234,0.9622222222222222,1.0377777777777777,38.888888888888886
66,route_fn_only,0.37333333333333335,0.06914893617021277,0.9308510638297872,0.0,1.0,1.0,38.888888888888886
66,static_graph,0.0,0.0,0.0,1.0,0.0,2.0,38.888888888888886
77,oracle,1.0,0.0,0.0,0.0,1.0,1.0,0.0
77,full_brain,0.3705555555555556,0.06266548984995587,0.9373345101500441,0.0,1.0,1.0,38.888888888888886
77,vector_rag_rerank,0.6988888888888889,0.8376383763837638,0.16236162361623616,0.0,5.0,8.0,38.888888888888886
77,vector_rag,0.6355555555555555,0.6402439024390244,0.3597560975609756,0.0,1.0,1.0,38.888888888888886
77,heuristic_stateful,0.5388888888888889,0.8072289156626506,0.1927710843373494,0.0,1.0,1.0,38.888888888888886
77,graph_route_pg,0.5761111111111111,0.5491480996068152,0.3145478374836173,0.1363040629095675,0.9422222222222222,1.0577777777777777,38.888888888888886
77,route_fn_only,0.3661111111111111,0.060473269062226116,0.9395267309377738,0.0,1.0,1.0,38.888888888888886
77,static_graph,0.0,0.0,0.0,1.0,0.0,2.0,38.888888888888886
88,oracle,1.0,0.0,0.0,0.0,1.0,1.0,0.0
88,full_brain,0.9866666666666667,0.2916666666666667,0.7083333333333334,0.0,1.0,1.0,2.2222222222222223
88,vector_rag_rerank,0.6494444444444445,0.7892234548335975,0.21077654516640254,0.0,5.0,8.0,38.888888888888886
88,vector_rag,0.6055555555555555,0.6577464788732394,0.34225352112676055,0.0,1.0,1.0,38.888888888888886
88,heuristic_stateful,0.5066666666666667,0.7578828828828829,0.24211711711711711,0.0,1.0,1.0,38.888888888888886
88,graph_route_pg,0.5761111111111111,0.6107470511140236,0.30013106159895153,0.0891218872870249,0.9622222222222222,1.0377777777777777,38.888888888888886
88,route_fn_only,0.3883333333333333,0.09082652134423251,0.9091734786557675,0.0,1.0,1.0,38.888888888888886
88,static_graph,0.0,0.0,0.0,1.0,0.0,2.0,38.888888888888886
99,oracle,1.0,0.0,0.0,0.0,1.0,1.0,0.0
99,full_brain,0.9827777777777778,0.3225806451612903,0.6774193548387096,0.0,1.0,1.0,1.6666666666666667
99,vector_rag_rerank,0.6722222222222223,0.8050847457627118,0.19491525423728814,0.0,5.0,8.0,38.888888888888886
99,vector_rag,0.6172222222222222,0.613933236574746,0.386066763425254,0.0,1.0,1.0,38.888888888888886
99,heuristic_stateful,0.515,0.7479954180985109,0.2520045819014891,0.0,1.0,1.0,38.888888888888886
99,graph_route_pg,0.48944444444444446,0.4091403699673558,0.27747551686615884,0.3133841131664853,0.84,1.16,38.888888888888886
99,route_fn_only,0.385,0.07407407407407407,0.9259259259259259,0.0,1.0,1.0,38.888888888888886
99,static_graph,0.0,0.0,0.0,1.0,0.0,2.0,38.888888888888886
111,oracle,1.0,0.0,0.0,0.0,1.0,1.0,0.0
111,full_brain,0.98,0.2222222222222222,0.7777777777777778,0.0,1.0,1.0,2.2222222222222223
111,vector_rag_rerank,0.6577777777777778,0.7564935064935064,0.2435064935064935,0.0,5.0,8.0,38.888888888888886
111,vector_rag,0.595,0.5925925925925926,0.4074074074074074,0.0,1.0,1.0,38.888888888888886
111,heuristic_stateful,0.5066666666666667,0.7612612612612613,0.23873873873873874,0.0,1.0,1.0,38.888888888888886
111,graph_route_pg,0.5294444444444445,0.48406139315230223,0.34238488783943327,0.17355371900826447,0.9183333333333333,1.0816666666666668,38.888888888888886
111,route_fn_only,0.36444444444444446,0.0777972027972028,0.9222027972027972,0.0,1.0,1.0,38.888888888888886
111,static_graph,0.0,0.0,0.0,1.0,0.0,2.0,38.888888888888886
