baseline,accuracy,accuracy_std,stale_rate,stale_rate_std,false_rate,false_rate_std,unknown_rate,unknown_rate_std,corrections_delivered,corrections_delivered_std,feedback_events,feedback_events_std,feedback_rate,feedback_rate_std,context_used,context_used_std,traversal_cost,traversal_cost_std,total_queries,total_queries_std,num_seeds
oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.5,16.710775,0.186944,0.009284,1800.0,0.0,1800.0,0.0,1800.0,0.0,10
full_brain,0.919556,0.183024,0.25854,0.094417,0.74146,0.094417,0.0,0.0,11.2,19.732207,336.5,16.710775,0.186944,0.009284,1800.0,0.0,1800.0,0.0,1800.0,0.0,10
vector_rag_rerank,0.6705,0.013652,0.795192,0.019804,0.204808,0.019804,0.0,0.0,70.0,0.0,336.5,16.710775,0.186944,0.009284,9000.0,0.0,14400.0,0.0,1800.0,0.0,10
vector_rag,0.604944,0.015769,0.613753,0.023748,0.386247,0.023748,0.0,0.0,70.0,0.0,336.5,16.710775,0.186944,0.009284,1800.0,0.0,1800.0,0.0,1800.0,0.0,10
heuristic_stateful,0.513833,0.021862,0.768056,0.016807,0.231944,0.016807,0.0,0.0,70.0,0.0,336.5,16.710775,0.186944,0.009284,1800.0,0.0,1800.0,0.0,1800.0,0.0,10
graph_route_pg,0.493944,0.138161,0.458445,0.156697,0.291909,0.097866,0.249646,0.250076,70.0,0.0,336.5,16.710775,0.186944,0.009284,1510.8,375.741081,2089.2,375.741081,1800.0,0.0,10
route_fn_only,0.370333,0.016804,0.07396,0.008212,0.92604,0.008212,0.0,0.0,70.0,0.0,336.5,16.710775,0.186944,0.009284,1800.0,0.0,1800.0,0.0,1800.0,0.0,10
static_graph,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,70.0,0.0,336.5,16.710775,0.186944,0.009284,0.0,0.0,3600.0,0.0,1800.0,0.0,10
