rank,baseline,accuracy_pct,delta_vs_full_brain_pp,delta_vs_best_rag_pp,context_per_query,traversal_per_query,corrections_per_1k_queries,accuracy_std_pct,full_brain_h2h,full_brain_h2h_rate
1,oracle,100.0,8.044399999999996,32.95,1.0,1.0,0.0,0.0,-,-
2,full_brain,91.9556,0.0,24.905600000000007,1.0,1.0,6.222222222222222,18.3024,-,-
3,vector_rag_rerank,67.05,-24.905600000000007,0.0,5.0,8.0,38.888888888888886,1.3652,9-1-0,0.9
4,vector_rag,60.494400000000006,-31.4612,-6.555599999999995,1.0,1.0,38.888888888888886,1.5768999999999997,9-1-0,0.9
5,heuristic_stateful,51.3833,-40.572300000000006,-15.6667,1.0,1.0,38.888888888888886,2.1862,9-1-0,0.9
6,graph_route_pg,49.3944,-42.56120000000001,-17.6556,0.8393333333333333,1.1606666666666665,38.888888888888886,13.8161,9-1-0,0.9
7,route_fn_only,37.033300000000004,-54.9223,-30.016699999999997,1.0,1.0,38.888888888888886,1.6804,10-0-0,1.0
8,static_graph,0.0,-91.9556,-67.05,0.0,2.0,38.888888888888886,0.0,10-0-0,1.0
