baseline,seed_11,seed_22,seed_33,seed_44,seed_55,seed_66,seed_77,seed_88,seed_99,seed_111,mean_accuracy,std_accuracy
oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
full_brain,0.975,0.9777777777777777,0.9816666666666667,0.9783333333333334,0.9816666666666667,0.9811111111111112,0.3705555555555556,0.9866666666666667,0.9827777777777778,0.98,0.9195555555555556,0.1830242849702981
vector_rag_rerank,0.6772222222222222,0.6827777777777778,0.6766666666666666,0.6577777777777778,0.6688888888888889,0.6633333333333333,0.6988888888888889,0.6494444444444445,0.6722222222222223,0.6577777777777778,0.6705,0.013652318574847848
vector_rag,0.615,0.6127777777777778,0.5788888888888889,0.6061111111111112,0.5988888888888889,0.5844444444444444,0.6355555555555555,0.6055555555555555,0.6172222222222222,0.595,0.6049444444444444,0.015769266092194006
heuristic_stateful,0.5438888888888889,0.5505555555555556,0.5072222222222222,0.4861111111111111,0.4922222222222222,0.4911111111111111,0.5388888888888889,0.5066666666666667,0.515,0.5066666666666667,0.5138333333333334,0.021861587598929744
graph_route_pg,0.5838888888888889,0.5916666666666667,0.26722222222222225,0.18555555555555556,0.5838888888888889,0.5561111111111111,0.5761111111111111,0.5761111111111111,0.48944444444444446,0.5294444444444445,0.49394444444444446,0.13816085856531934
route_fn_only,0.3511111111111111,0.365,0.37777777777777777,0.33666666666666667,0.39555555555555555,0.37333333333333335,0.3661111111111111,0.3883333333333333,0.385,0.36444444444444446,0.3703333333333333,0.016803512272479164
static_graph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
