baseline,accuracy,stale_rate,false_rate,unknown_rate,corrections_delivered,context_used,traversal_cost,total_queries
oracle,1.0,0.0,0.0,0.0,0,800,800,800
vector_rag,0.85,0.625,0.375,0.0,80,800,800,800
vector_rag_rerank,0.91,0.9861111111111112,0.013888888888888888,0.0,65,4000,6400,800
heuristic_stateful,0.82,0.9861111111111112,0.013888888888888888,0.0,80,800,800,800
static_graph,0.0,0.0,0.0,1.0,80,0,1600,800
route_fn_only,0.62375,0.07973421926910298,0.920265780730897,0.0,80,800,800,800
graph_route_pg,0.78125,0.3485714285714286,0.18857142857142858,0.46285714285714286,80,719,881,800
full_brain,0.9875,0.3,0.7,0.0,8,800,800,800
