baseline,oracle,vector_rag,vector_rag_rerank,heuristic_stateful,static_graph,route_fn_only,graph_route_pg,full_brain
oracle,0.0,0.1775,0.0725,0.17,1.0,0.33,0.1913,0.0088
vector_rag,-0.1775,0.0,-0.105,-0.0075,0.8225,0.1525,0.0138,-0.1687
vector_rag_rerank,-0.0725,0.105,0.0,0.0975,0.9275,0.2575,0.1188,-0.0637
heuristic_stateful,-0.17,0.0075,-0.0975,0.0,0.83,0.16,0.0212,-0.1613
static_graph,-1.0,-0.8225,-0.9275,-0.83,0.0,-0.67,-0.8087,-0.9912
route_fn_only,-0.33,-0.1525,-0.2575,-0.16,0.67,0.0,-0.1387,-0.3212
graph_route_pg,-0.1913,-0.0138,-0.1188,-0.0212,0.8087,0.1387,0.0,-0.1825
full_brain,-0.0088,0.1687,0.0637,0.1613,0.9912,0.3212,0.1825,0.0
