rank,baseline,accuracy_pct,delta_vs_full_brain_pp,delta_vs_best_rag_pp,context_per_query,traversal_per_query,corrections_per_1k_queries,accuracy_std_pct,full_brain_h2h,full_brain_h2h_rate
1,oracle,100.0,2.433300000000005,29.355200000000004,1.0,1.0,0.0,0.0,-,-
2,full_brain,97.5667,0.0,26.921899999999997,1.0,1.0,23.28222600795003,0.3724,-,-
3,vector_rag_rerank,70.6448,-26.921899999999997,0.0,5.0,8.0,68.14310051107326,1.1835,10-0-0,1.0
4,vector_rag,63.353300000000004,-34.21339999999999,-7.291499999999996,1.0,1.0,68.14310051107326,1.6435000000000002,10-0-0,1.0
5,heuristic_stateful,61.3858,-36.180899999999994,-9.258999999999995,1.0,1.0,68.14310051107326,1.2312999999999998,10-0-0,1.0
6,graph_route_pg,60.394800000000004,-37.171899999999994,-10.249999999999993,0.9603634298693924,1.0396365701306076,68.14310051107326,1.7194,10-0-0,1.0
7,route_fn_only,34.0999,-63.4668,-36.5449,1.0,1.0,68.14310051107326,9.0069,10-0-0,1.0
8,static_graph,0.0,-97.5667,-70.6448,0.0,2.0,68.14310051107326,0.0,10-0-0,1.0
