baseline,seed_11,seed_22,seed_33,seed_44,seed_55,seed_66,seed_77,seed_88,seed_99,seed_111,mean_accuracy,std_accuracy
oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
full_brain,0.9690340909090909,0.9761431411530815,0.973908111174135,0.969335604770017,0.9792731402612153,0.9755820556501987,0.9801249290176036,0.9786931818181818,0.9786992331723942,0.9758796821793416,0.9756673170105259,0.0037240366570558112
vector_rag_rerank,0.7161931818181818,0.7176938369781312,0.7058990357345434,0.702725724020443,0.7140829074389552,0.6973310618966496,0.6873935264054515,0.7232954545454545,0.7120136324907697,0.6878547105561862,0.7064483071884766,0.011834698370762132
vector_rag,0.6224431818181818,0.6574836694120988,0.6508791832104368,0.6226575809199318,0.6212379329926179,0.6246450880181715,0.6144236229415105,0.647159090909091,0.6569156489633626,0.6174801362088536,0.6335325135394256,0.016435414348120847
heuristic_stateful,0.6321022727272727,0.6282306163021869,0.6176971072036301,0.6124361158432708,0.6033503691084611,0.6067575241340147,0.6007950028392959,0.6076704545454545,0.6319227492189718,0.5976163450624291,0.6138578556984988,0.012312868401348428
graph_route_pg,0.60625,0.6299346776483954,0.6114577424844015,0.5959681998864281,0.5883021010789324,0.5814877910278251,0.5763770584894946,0.6252840909090909,0.6174382277761999,0.6069807037457434,0.6039480593046511,0.0171944884478805
route_fn_only,0.29914772727272726,0.31070718545867654,0.32359614293817357,0.60931289040318,0.3035207268597388,0.30579216354344124,0.32935831913685404,0.3255681818181818,0.3047429707469469,0.2982406356413167,0.3409986943819237,0.09006934081293676
static_graph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
